title,artist,price
Julia Mingey,Yuri Edmott,32.01
Roxy Zanetto,Gardener Hearthfield,75.22
Melly Huelin,Hilary Ambrosch,4.05
Marguerite Flux,Carita Skaif,29.8
Tommy Marchment,Vivianne Slight,98.64
Cherrita Burberye,Lexis De Bernardis,38.48
Jerad Fowles,Tiffi Gellibrand,48.82
Cherri MacCrosson,Darcy Mucklestone,84.16
Fredrick Glowach,Gayle Grisewood,37.91
Barr Lavrick,Teirtza MacCoveney,72.08
Herbert Tripney,Tammie Esbrook,55.69
Jasper Tabrett,Almira Spyvye,80.21
Jaquelin Earland,Colette Rizzillo,15.31
Cullie Maingot,Olympe Simonds,88.31
Sherill Fiander,Bogart Shopcott,29.14
Lin Giddings,Irina Rudolfer,69.51
Amil Baglin,Hermann Blyth,20.19
Jan Andraud,Margarette Berrecloth,74.35
Laney Veeler,Thomasine Streets,11.27
Emmi Duguid,Evelina Ruddick,26.56
Ronda Cullum,Foss Stredder,57.43
Sela Wisedale,Livvie Bathowe,32.78
Aldo Thurston,Rozelle Forstall,23.36
Rubin Burwin,Modestine Rand,21.76
Rourke Silkstone,Baillie McGourty,76.52
Agosto Satterfitt,Florenza Lundon,71.76
Olvan Waistell,Ardella Jirak,43.76
Sly Seiter,Clemmie Sandford,31.7
Ann Oxton,Tymon Coughtrey,83.36
Webb MacSherry,Atalanta Jentges,4.34
Marcellina Oatley,Normie Brekonridge,75.8
Daisy Cardenoza,Julienne Leathlay,56.23
Mile Pestell,Reiko Ianiello,98.01
Henryetta Oneal,Betty Marshland,27.53
Dorothea Deport,Dreddy Davidde,28.17
Abbye O'Curneen,Karlen Fleckno,19.44
Barbi Swadden,Moise Blazej,93.2
Amabel Gradon,Jewell Eckels,35.73
Coreen Toby,Kiri Dreng,59.65
Erika Seabourne,Lynnett Savill,13.73
Easter Burrus,Tildi Foister,22.92
Clarabelle Searchfield,Maxim Wrighton,86.55
Cass Gothliff,Delainey Linforth,4.58
Krisha Jezzard,Cirillo Grugerr,91.77
Christy Knill,Gunter Felmingham,94.66
Farica Henighan,Blondie Rutt,77.34
Ashly Togher,Ahmed Von Der Empten,31.45
Lucille Capp,Karissa Novak,36.98
Avrit Braganza,Anderson Veschambre,94.17
Killie Geffe,Oberon Twidell,48.01
Dianemarie Tuftin,Dora Issacof,77.86
Tedman Neighbour,Marylou Suggitt,69.2
Kellie Chambers,Brittney Kernes,56.7
Ruy Doel,Jinny Pointer,68.65
Duff Collinette,Garret Woodburne,7.72
Lily Rix,Cassius Nisot,39.61
Shani Brailey,Arin Maciaszek,4.93
Cesaro Sergison,Brianna Dickins,19.23
Noland Gludor,Leupold Leggis,41.08
Ingunna Quartley,Joey Bremmer,85.55
Sheree Ten Broek,Gay Armell,21.2
Gillie Blackie,Ritchie McSperrin,20.82
Teresa Dundridge,Lorant Gahan,87.31
Milka Whitmell,Georgeta Bolesma,55.41
Carena De Cruz,Perren Hains,45.31
Marylinda MacIlwrick,Schuyler Sabathe,42.78
Patrice Syred,Angele Moyser,76.63
Hubey Hollibone,Lion Chestle,19.75
Raimundo Kingdon,Keelia Wilfinger,72.78
Inger Stracey,Joela Brigshaw,59.15
Benni Caldwall,Erasmus Duberry,86.6
Daphne Dallinder,Bjorn Menego,61.76
Daven Whannel,Franklyn Rickertsen,72.78
Cassy Ors,Stanislaw Boanas,66.35
Erica Duinbleton,Hyacinthie McNirlan,42.23
Sherri Burthom,Laryssa Cready,82.04
Rozele Halgarth,Aliza Gaytor,93.23
Livy Chismon,Linnie Brislan,62.97
Ortensia Sebring,Jodi McTrustam,17.48
Winifield Jordanson,Pen De Minico,58.31
Tallie Storms,Nanon Bensen,86.55
Antonio Adamik,Davie Golling,40.69
Jennica Neat,Karita Worstall,60.75
Dario Pedel,Sonny Stolting,16.77
Shoshanna Catcheside,Reagan Leipoldt,15.73
Kelci Jarrard,Godwin Belison,11.94
Aloysia Dewen,Edgardo Cominotti,70.94
Jami Archibald,Beverlie Copes,10.97
Lambert Trees,Baird Willets,52.64
Savina Shevels,Mame Midlar,33.2
Jewell Klulisek,Rene Gwillim,61.23
Joan Petruskevich,Hugibert Lanfear,97.58
Oralee Ply,Mona Clilverd,45.47
Cornelius Cawthron,Devora Giannini,47.51
Piper Le Clercq,Lynnet Fidell,46.06
Ritchie Malin,Bern Loughrey,68.72
Meier Spurett,Valentine Hearmon,38.4
Eleonora Yair,Mervin Jannex,8.8
Aubrie Grouer,Tiffany Folomkin,3.39
Simone Gartland,Bobby Berrie,31.31
Danyelle Arton,Sheba Rivalland,22.57
Vite Stranger,Olwen Stathers,46.11
Doria Noweak,Jefferey Kirmond,86.38
Agnesse Halesworth,Buiron Chadwell,71.89
Hakeem Del Checolo,Tamas Damper,54.27
Kat Ridder,Emogene Lefridge,43.21
Araldo Hysom,Audi Kirkup,46.85
Alphonso Arnely,Otes Wickling,70.33
Galen Beamont,Merilee Peyntue,50.68
Corrina Mateuszczyk,Giordano Beretta,38.04
Lukas Duffield,Aldrich Ivanichev,54.91
Alvan Ilyuchyov,Courtnay Shellibeer,68.72
Nial Mauro,Katinka Oneil,79.96
Boyd Scading,Christopher Vennard,75.47
Iver Itzkowicz,Cally Guy,95.1
Brooks Bridger,Ladonna Tourry,13.1
Susanetta Picot,Romain Bethel,71.71
Margareta Sango,Fidelia Shera,46.23
Othella Benettelli,Annemarie Degli Antoni,25.35
Hannah Dignall,Florry Asplin,71.55
Glendon Wordsley,Shelton Rubenfeld,13.79
Debi McPhee,Benny Fayer,84.54
Vannie Jermyn,Karim Luddy,21.74
Chickie Halpeine,Yancey Shortan,90.16
Rosana Hechlin,Donna Mayling,99.79
Debor Rosenbusch,Lonnard Verbrugge,74.23
Leslie Scargill,Valentijn Seaward,23.49
Denis Braga,Lavena Menezes,91.82
Nancee Jaggar,Hewitt MacNulty,39.12
Lonnie Albinson,Atlanta Skein,17.02
Boot Sadat,Cristin Perse,53.51
Jorgan Arlidge,Maddi Colman,31.65
Zuzana Tordoff,Shannah Berlin,77.8
Auguste Impy,Cornelle Alp,33.18
Bruis Martynka,Gerardo Abdee,32.37
Bucky Vida,Mattias Lorne,88.02
Ash Gratton,Anders Cotton,58.21
Myrna Olivelli,Iormina Medd,98.8
Grange McGlade,Lindsey Settle,94.04
Binnie Davidovici,Mackenzie Bloodworthe,58.46
Carolan Puckett,Gussie Doumenc,73.75
Orelia Matura,Nola Kilmary,16.31
Niccolo Robertson,Spencer Browncey,24.9
Aimil Pedrocco,Fin Croney,80.24
Weber Clarycott,Annecorinne Badgers,44.58
Deny Inwood,Tammy Heinz,3.79
Ayn Hablot,Alard Bradnock,65.91
Hill Saw,Coralyn Sibbe,55.66
Angil Cleatherow,Harvey Sidebottom,81.88
Millicent Joseland,Nadya Dartnall,92.31
Liliane Blasi,Borden Menilove,5.38
Lulu Chesterton,Gustavo Staner,83.51
Lind Silverwood,Joe Messer,48.99
Taylor Audenis,Eachelle Walch,30.26
Stan Episcopi,Bendix Toulamain,15.38
Sharron Jahncke,Kari Hyrons,14.64
Sarah Duchenne,Zebulen Hobben,27.46
Angelique Forsard,Evangeline Pinkstone,59.27
Hannis Yuryichev,Brockie Easterling,18.76
Tanitansy Fulbrook,Constanta Slowcock,53.59
Alasdair Forre,Byram Windrus,60.23
Burgess Kristof,Elke Guly,47.11
Travis Robbings,Raoul Gellett,52.64
Erasmus Butting,Hobey Easterby,74.76
Althea Schnieder,Raven Shipway,72.06
Lidia De Malchar,Jerrilee Stookes,86.65
Hakim Hazeup,Sib Chable,15.03
Adolpho Perris,Angelo Peck,58.25
Carlene Muzzlewhite,Anet Martensen,98.43
Bari Durbridge,Hobard Levermore,92.74
Roch Sisselot,Fernando Brearty,93.15
Sisely Rowsell,Ana Cheetham,14.82
Biddy Karlmann,Olav Crampton,64.54
Danita Marages,Arel Volkers,9.15
Bertie Will,Brandea Basso,68.36
Vin MacManus,Carl Kleinber,1.3
Karim Stoffler,Edmon Cafe,7.97
Yetty Thirtle,Torey Hick,67.78
Brendon Casetti,Maggee Cantle,53.59
Imogene Aslam,Annadiana Dallman,53.49
Kelcey Pozer,Evan Bruckstein,54.45
Farrah Sabben,Federico Ettritch,77.53
Carolynn Beechcraft,Marty Stangroom,76.14
Shani Guinness,Shayna Rice,84.86
Nicko Pressey,Cammy Dumbelton,61.74
Mary Lawlee,Erich Tabourel,58.44
Adara O'Neill,Darnall Casassa,93.62
Brenden Connechy,Eveleen Prettejohns,82.31
Kale Paschek,Yorke Smeuin,7.88
Olia Rouff,Neysa McCullagh,87.09
Elwira Dickie,Cloe George,88.93
Sonia Pierce,Mario Chamberlen,45.42
Johnny Fellona,Vanna Broxholme,28.22
Woodie Guess,Pearl Chamberlin,53.27
Sherm Gieves,Myrah Deetlof,6.35
Franzen Sommerfeld,Dennet Plaide,60.44
Jacklyn Antonignetti,Sabina Heugh,29.09
Sigismund Dempsey,Dulce Boome,48.32
Codie Norvill,Teddi Cuppitt,84.69
Melamie Vanichev,Lyn Beed,75.26
Sandie Cruce,Renato McLoney,3.24
Ruthi Randell,Bamby Norheny,96.08
Davy Cantrill,Evyn Bullant,95.88
Gabi Keeffe,Junia Pietzner,17.38
Lynelle Coverlyn,Frannie Meneghelli,26.03
Emanuel Ferrolli,Sallyanne Waine,78.61
Almire Giacovazzo,Phip Brussels,16.99
Opalina Kedwell,Truman Wonham,73.17
Gay Seine,Teena Schoolcroft,60.88
Britte Amorine,Dulcinea Keys,31.52
Sarine Le Monnier,Gunner Tuff,44.97
Aurel Fulk,Ulrich Dalman,2.37
Koenraad Darrigone,Liam Pudden,72.9
Roxine Lutwidge,Kit Royan,92.01
Abby Newdick,Ruby McDowell,35.93
Luci Levay,Zerk Osborne,46.5
Jillie Masser,Kristal Shelp,53.07
Cindelyn McAlpin,Mal Griffin,98.27
Lisha Forsard,Wendi Cymper,33.31
Nicko Woolgar,Kelcie Saurat,80.47
Vince Cristoforetti,Nara Terris,59.11
Ambrose Gislebert,Morley Petteford,79.18
Cariotta Perring,Didi Dible,53.24
Idaline Huison,Nannie Sidnell,17.79
Minni Giberd,Darline Eccles,48.73
Ludvig Sidebotham,Salim Langshaw,6.42
Wilt Tucsell,Cherish Etty,65.76
Odie Wildin,Hynda Byne,35.64
Lucio Dahler,Golda O'Crigan,32.08
Leyla Carleton,Gabriel Offill,50.05
Cherida Gravey,Dyanne Farrall,60.77
Annabella Szimoni,Sisile Cerman,24.27
Murdock Chesher,Marlyn Chidzoy,5.16
Melonie Prigg,Rodd Talton,37.74
Pepillo Di Domenico,Valentine Langthorn,87.5
Janifer Lyvon,Efrem Cheak,82.01
Rooney Sposito,Carlen Choppin,77.38
Deedee Keme,Franciska Holywell,5.83
Joleen Jaynes,Marlin Whenman,93.85
Gram Kirckman,Loralie Filipchikov,11.27
Josey Mussetti,Konstanze MacAdam,32.69
Tadeas Skala,Beltran Strotone,17.08
Woodrow Pepon,Denny Baldini,2.89
Noella Riccio,Jed Gush,25.67
Doretta Lowdham,Daffi Klimov,84.77
Annmarie Philipsohn,Silvia Douche,9.42
Arnaldo Lopes,Marcella Diperaus,35.75
Elsa Aylett,Shandee Maylott,1.1
Orelia Rootes,Parnell Hurdwell,22.4
Kristien Gullane,Effie McCarthy,26.89
Maxine Leach,Kirby Ducarne,93.22
Meghann Brookesbie,Shari Snaddin,89.85
Merwyn Wynch,Conni Longstreet,31.29
Kimberly Tremonte,Murdoch Corbitt,63.82
Brantley Hillborne,Bekki Rispine,56.63
Fionnula McBean,Agnese Sandell,70.19
Etan Leffek,Anica Wemm,87.78
Enrica Caldecott,Andris Mannock,60.67
Dean Waeland,Angel Bonn,43.98
Heidie Mithun,Antons Napoli,13.72
Hadrian D'Angeli,Arluene Hambright,51.0
Neale Ruddell,Gearalt Duncombe,14.95
Silvain O'Shavlan,Rosabelle Bitchener,82.45
Quentin Laughlin,Barbabas Laybourn,66.89
Sibley Keller,Ozzie Alekhov,93.55
Adelle Moye,Adoree Sandy,63.71
Suki Arrell,Randie Sarchwell,47.97
Sharia Roantree,Blake Hugonnet,14.47
Madelina Laraway,Silvester Evensden,35.6
Dianne Betts,Gwendolin Southon,92.87
Sigismund Salle,Bibby Robbel,96.43
Marlane Seefus,Gretta Sinyard,24.38
Marcile Sweetman,Gaylene Muckleston,81.44
Ynez Lunnon,Othella Eymer,92.74
Hendrick Ottery,Bondie Iacovone,97.78
Isak Jurges,Janek Bissill,42.96
Jamesy Iltchev,Haslett Brayn,41.6
Irene Belle,Cory Orts,9.46
Kristina Bagg,Carolee Witcherley,57.44
Shepard Been,Sanson Basillon,14.43
Rowen Danzelman,Creigh Bailes,36.22
Roldan Pendrich,Kai Warboy,46.26
Luz Osmond,Ludovika Salkeld,33.29
Kaspar Doody,Ahmed Scotchmor,79.17
Lindsy Mitchiner,Rubie Shacklady,5.81
Giovanni Paskerful,Micki Grieg,60.76
Freeman Rooze,Elroy Allsworth,92.91
Melisandra Olczak,Stirling Leving,56.67
Saxon Thewless,Chris Arpe,37.21
Opaline Hoggin,Kaleena Lescop,4.65
Jaime Volk,Crissie Cayette,95.88
Winfield Blaxland,Leann MacTrustey,18.01
Thekla Bucher,Milt Goering,6.99
Hillier Orrice,Rustin Durand,9.82
Kayle Cosby,Barbi McNalley,50.17
Dieter Emett,Tod Coulter,84.64
Lyssa Brownsell,Parnell Geertsen,84.98
Kordula Maryet,Katusha Manners,40.98
Martynne Como,Any Heartfield,50.01
Giorgia Sillito,Gawen O'Donoghue,38.01
Ardelle Witherdon,Zsazsa Oller,33.6
Adolphus Le Houx,Emera Tuckwell,28.41
Yovonnda Chazelas,Birch Genge,54.63
Shoshanna Woolfall,Way Venning,46.14
Bobina Labrom,Tobin Doxsey,73.75
Neale Nuth,Guillemette Tingey,60.55
York Wickersham,Averil Saulter,40.07
Shepherd Dukesbury,Jewelle Darrell,74.63
Berton Forth,Christean Bletso,75.7
Amelia Penny,Niles Newing,10.0
Janna Besse,Cris D'Alessio,63.17
Sutherland Denecamp,Conrad Housecroft,35.68
Linette Ruskin,Antonietta Fearnyhough,12.09
Lyndsie Northcliffe,Huey Ensor,36.56
Ellissa McKellen,Claudell Hawkin,91.26
Harp Chansonnau,Byrann Fitzpayn,70.97
Hilarius Dyett,Barbey Gatlin,31.25
Halli Gethins,Fran Waddy,4.24
Dael Pollard,Willetta Kordovani,42.74
Willie Pidgen,Ross Kiddie,65.29
Creighton Spinks,Albina Islep,1.08
Son Tookill,Lucilia Way,62.42
Penn Campos,Jarrod Fissenden,13.14
Marwin Le Huquet,Feliks Jewsbury,76.03
Mair Miroy,Garnet Mahady,58.19
Lucia Jeffryes,Fredric Hanshaw,41.04
Chip Hollebon,Reggi Cayle,63.81
Erma Speenden,Dollie Nilles,76.45
Maxim Burnup,Lewiss Amy,50.65
Boycey Nani,Carce O'Brollachain,65.3
Riva Andrzejak,Renate Cornils,1.57
Panchito Senchenko,Arlen Grinval,42.03
Steffen Geck,Simmonds Ballam,81.57
Ebony Ollington,Alain Cavie,74.55
Amber Mungham,Lynette Charlo,22.01
Risa Barendtsen,Ilise Quinsee,64.37
Leena Edlyne,Klarika McIlmorow,99.26
Rivi Gartenfeld,Giorgi Leivesley,38.22
Hermy Shippard,Errol Renad,61.75
Zachery Loseby,Orson Laver,96.15
Peta Mufford,Uta Sargerson,47.13
Benito Vousden,Edward Prewett,12.96
Burnaby Spoure,Hildegaard Cochern,86.58
Cari Tebbit,Rori Stickford,20.43
Turner Brokenbrow,Rodge Whale,69.39
Cinda Rafe,Byrann Beed,93.92
Bail Woodes,Manon Olyonov,14.56
Kayley Cawdery,Stan Gentry,5.59
Bryan Bendelow,Garv Swinerd,77.31
Filip Abela,Maddie Luckings,95.19
Hertha Quye,Egbert Romanelli,46.09
Pat Goulborn,Cicely Wingatt,39.93
Aldous Meineck,Pepillo McGillacoell,44.39
Bert Cisneros,Merline Murray,81.9
Hannie Pafford,Ephrem Hornung,24.44
Renaud Poveleye,Franky Grime,30.69
Maye Linning,Darcey Duffree,74.16
Louis Yuill,Calhoun Hackley,47.26
Carly Diplock,Kenton Eringey,4.84
Alexio Wilkerson,Kerr Kobelt,64.38
Annabel Fassam,Margalit Mears,41.63
Cherie McAusland,Galvin Arnal,42.27
Pam Von Salzberg,Allan Egger,79.99
Charlie Ryott,Haskel Innerstone,34.27
Brewer Sneden,Crystal Buckthought,84.45
Laurie Shepley,Farley Yuranovev,60.58
Eberto Gerring,Ralph Overshott,58.57
Dix Duffie,Deanne Sandiland,38.37
Seline Basindale,Lyle Book,38.24
Ira Piatti,Jermaine Pidgeley,56.97
Danna Smye,Thorsten Layus,76.21
Domenic Ruddick,Cassandry Peasegod,18.24
Kearney Turmell,Lucien Riccetti,25.1
Hilda Jennaroy,Cletus Chessil,92.69
Gabriella Bonney,Piggy Shrubb,87.24
Dunc Beeck,Phyllys Turpie,25.23
Victoria Beinke,Joel Laidlow,31.64
Edouard Hyde,Lavina Gilardengo,75.16
Junina Antwis,Gretchen Cranidge,71.75
Emmerich Jowitt,Yorgos Brotherhead,23.46
Jackie Turbern,Heall Butner,55.71
Oralee Orbine,Rois Carles,68.25
Montague Conlon,Kerstin Pollicote,14.54
Bria Tortis,Antonina Cockle,13.21
Waneta Mateev,Sophey Mucci,77.46
Donalt Raymen,Boycey Franz,63.29
Joelie Embra,Cathyleen Bindin,83.21
Lorie Broadstock,Ingamar Scarlet,59.56
Neddy Martini,Ezri Ansley,46.35
Kristi Pilch,Lelia Corish,13.56
Linnie Linner,Annemarie Adamik,42.65
Marga Gillespey,Morna Le Batteur,10.25
Patric Bootherstone,Shermie Gwillym,54.31
Roshelle Gordon-Giles,Kyla Folshom,20.16
Sheffy Shrimplin,Vern Earsman,34.08
Sisile Greengrass,Tessie Lush,9.83
Tallia Payze,Fernanda Compfort,18.3
Fairfax Geary,Claudine Hearley,17.74
Cher Derr,Rhonda Dieton,97.18
Josh Vaulkhard,Myrle Thackston,80.96
Gavrielle Estable,Fianna Pencost,44.42
Cahra Moncreiffe,Durant Widdows,17.77
Zelda Hartles,Linell Partleton,5.31
Issie Wasselin,Nichol Rembaud,87.93
Kore Foulger,Richard Filyashin,46.45
Beckie Stotherfield,Nonna Sykora,38.22
Gib Morter,Cordell Menelaws,42.83
Karylin Biagini,Dina Quarrell,78.13
Freddy Cristoforo,Nickie Danter,44.2
Wendell Hellikes,Tymon Tregust,22.33
Katheryn Mellows,Farah Lorant,16.14
Leodora Schermick,Harriett Burgoyne,55.78
Ferdinand Garbar,Chic Doldon,71.38
Eddie Grunson,Claribel Galland,77.64
Theodora Long,Leda Durdy,51.02
Kellen Lambden,Bonnibelle Laying,89.63
Claudianus Rissen,Raquel Kinvan,77.11
Jaclin Delong,Eugenia Robbins,28.05
Raye Amberson,Cynthy Galsworthy,35.55
Dolli Martinat,Ivory Rangell,98.5
Lauryn Mowday,Oby Benezet,69.94
Sherm Halahan,Yorgo Yglesias,47.86
Ronny Wayland,Sebastiano Pigrome,96.93
Pat Roland,Merry Whaplington,15.7
Gunar Clements,Nap Viscovi,99.6
Erik Stoddard,Gill Veltman,26.69
Skippy Storie,Addy Gierek,25.03
Calida Mc Caghan,Yovonnda Lawton,34.43
Brenden Filler,Danella Yeulet,47.06
Allissa Pickover,Tania Kesper,84.69
Eduardo Shaves,Charil Ticehurst,57.9
Ula Angrove,Carling Leggon,27.87
Zorana Faucherand,Isidro Grennan,91.29
Sigismund Powdrell,Gaspar Berkley,11.03
Bale Cattonnet,Jeffrey Carrett,36.52
Loydie Cameron,Colet Teece,48.75
Clarabelle Gert,Jessalin Lodin,95.66
Wanids Gobolos,Hillary Smoote,36.52
Roosevelt Edmans,Hort Airs,53.93
Jerry Ronca,Hana Shucksmith,88.56
Pammie Blancowe,Kelsi Durrand,4.38
Caro Mackrill,Pembroke Berston,40.62
Monroe Marl,Gibby Stickins,55.03
Suki Lamden,Berkly Ballham,6.36
Dilan O'Noland,Anica Glaserman,9.68
Camille Pharo,Maud Bickerstasse,51.73
Cecilius Gloster,Thatcher Ranshaw,85.57
Debi Francklin,Meaghan Freeberne,99.85
Glendon Brugh,June Prin,5.65
Lark Marti,Barbaraanne Janczak,2.14
Coleman Boreland,Toiboid Le febre,21.75
Therine Linnell,Rozalin McGlaughn,86.86
Burg Gossington,Evangelin Dumbreck,89.61
Bryce Stronough,Doroteya Beadon,38.15
Leena Stockey,Anjanette Krol,2.51
Bette-ann Fonte,Curtis Stefanovic,61.3
Trude Osgood,Odelia Cleverly,82.11
